club_name,club_link
Liverpool,https://fbref.com/en/squads/822bd0ba/2021-2022/Liverpool-Stats
Manchester City,https://fbref.com/en/squads/b8fd03ef/2021-2022/Manchester-City-Stats
Manchester Utd,https://fbref.com/en/squads/19538871/2021-2022/Manchester-United-Stats
Newcastle Utd,https://fbref.com/en/squads/b2b47a98/2021-2022/Newcastle-United-Stats
Norwich City,https://fbref.com/en/squads/1c781004/2021-2022/Norwich-City-Stats
Southampton,https://fbref.com/en/squads/33c895d4/2021-2022/Southampton-Stats
Tottenham,https://fbref.com/en/squads/361ca564/2021-2022/Tottenham-Hotspur-Stats
Watford,https://fbref.com/en/squads/2abfe087/2021-2022/Watford-Stats
West Ham,https://fbref.com/en/squads/7c21e445/2021-2022/West-Ham-United-Stats
Wolves,https://fbref.com/en/squads/8cec06e1/2021-2022/Wolverhampton-Wanderers-Stats
Arsenal,https://fbref.com/en/squads/18bb7c10/2022-2023/Arsenal-Stats
Aston Villa,https://fbref.com/en/squads/8602292d/2022-2023/Aston-Villa-Stats
Bournemouth,https://fbref.com/en/squads/4ba7cbea/2022-2023/Bournemouth-Stats
Brentford,https://fbref.com/en/squads/cd051869/2022-2023/Brentford-Stats
Brighton,https://fbref.com/en/squads/d07537b9/2022-2023/Brighton-and-Hove-Albion-Stats
Chelsea,https://fbref.com/en/squads/cff3d9bb/2022-2023/Chelsea-Stats
Crystal Palace,https://fbref.com/en/squads/47c64c55/2022-2023/Crystal-Palace-Stats
Everton,https://fbref.com/en/squads/d3fd31cc/2022-2023/Everton-Stats
Fulham,https://fbref.com/en/squads/fd962109/2022-2023/Fulham-Stats
Leeds United,https://fbref.com/en/squads/5bfb9659/2022-2023/Leeds-United-Stats
Leicester City,https://fbref.com/en/squads/a2d435b3/2022-2023/Leicester-City-Stats
Liverpool,https://fbref.com/en/squads/822bd0ba/2022-2023/Liverpool-Stats
Manchester City,https://fbref.com/en/squads/b8fd03ef/2022-2023/Manchester-City-Stats
Manchester Utd,https://fbref.com/en/squads/19538871/2022-2023/Manchester-United-Stats
Newcastle Utd,https://fbref.com/en/squads/b2b47a98/2022-2023/Newcastle-United-Stats
Nott'ham Forest,https://fbref.com/en/squads/e4a775cb/2022-2023/Nottingham-Forest-Stats
Southampton,https://fbref.com/en/squads/33c895d4/2022-2023/Southampton-Stats
Tottenham,https://fbref.com/en/squads/361ca564/2022-2023/Tottenham-Hotspur-Stats
West Ham,https://fbref.com/en/squads/7c21e445/2022-2023/West-Ham-United-Stats
Wolves,https://fbref.com/en/squads/8cec06e1/2022-2023/Wolverhampton-Wanderers-Stats
Arsenal,https://fbref.com/en/squads/18bb7c10/2023-2024/Arsenal-Stats
Aston Villa,https://fbref.com/en/squads/8602292d/2023-2024/Aston-Villa-Stats
Bournemouth,https://fbref.com/en/squads/4ba7cbea/2023-2024/Bournemouth-Stats
Brentford,https://fbref.com/en/squads/cd051869/2023-2024/Brentford-Stats
Brighton,https://fbref.com/en/squads/d07537b9/2023-2024/Brighton-and-Hove-Albion-Stats
Burnley,https://fbref.com/en/squads/943e8050/2023-2024/Burnley-Stats
Chelsea,https://fbref.com/en/squads/cff3d9bb/2023-2024/Chelsea-Stats
Crystal Palace,https://fbref.com/en/squads/47c64c55/2023-2024/Crystal-Palace-Stats
Everton,https://fbref.com/en/squads/d3fd31cc/2023-2024/Everton-Stats
Fulham,https://fbref.com/en/squads/fd962109/2023-2024/Fulham-Stats
Liverpool,https://fbref.com/en/squads/822bd0ba/2023-2024/Liverpool-Stats
Luton Town,https://fbref.com/en/squads/e297cd13/2023-2024/Luton-Town-Stats
Manchester City,https://fbref.com/en/squads/b8fd03ef/2023-2024/Manchester-City-Stats
Manchester Utd,https://fbref.com/en/squads/19538871/2023-2024/Manchester-United-Stats
Newcastle Utd,https://fbref.com/en/squads/b2b47a98/2023-2024/Newcastle-United-Stats
Nott'ham Forest,https://fbref.com/en/squads/e4a775cb/2023-2024/Nottingham-Forest-Stats
Sheffield Utd,https://fbref.com/en/squads/1df6b87e/2023-2024/Sheffield-United-Stats
Tottenham,https://fbref.com/en/squads/361ca564/2023-2024/Tottenham-Hotspur-Stats
West Ham,https://fbref.com/en/squads/7c21e445/2023-2024/West-Ham-United-Stats
Wolves,https://fbref.com/en/squads/8cec06e1/2023-2024/Wolverhampton-Wanderers-Stats
Arsenal,https://fbref.com/en/squads/18bb7c10/Arsenal-Stats
Aston Villa,https://fbref.com/en/squads/8602292d/Aston-Villa-Stats
Bournemouth,https://fbref.com/en/squads/4ba7cbea/Bournemouth-Stats
Brentford,https://fbref.com/en/squads/cd051869/Brentford-Stats
Brighton,https://fbref.com/en/squads/d07537b9/Brighton-and-Hove-Albion-Stats
Chelsea,https://fbref.com/en/squads/cff3d9bb/Chelsea-Stats
Crystal Palace,https://fbref.com/en/squads/47c64c55/Crystal-Palace-Stats
Everton,https://fbref.com/en/squads/d3fd31cc/Everton-Stats
Fulham,https://fbref.com/en/squads/fd962109/Fulham-Stats
Ipswich Town,https://fbref.com/en/squads/b74092de/Ipswich-Town-Stats
Leicester City,https://fbref.com/en/squads/a2d435b3/Leicester-City-Stats
Liverpool,https://fbref.com/en/squads/822bd0ba/Liverpool-Stats
Manchester City,https://fbref.com/en/squads/b8fd03ef/Manchester-City-Stats
Manchester Utd,https://fbref.com/en/squads/19538871/Manchester-United-Stats
Newcastle Utd,https://fbref.com/en/squads/b2b47a98/Newcastle-United-Stats
Nott'ham Forest,https://fbref.com/en/squads/e4a775cb/Nottingham-Forest-Stats
Southampton,https://fbref.com/en/squads/33c895d4/Southampton-Stats
Tottenham,https://fbref.com/en/squads/361ca564/Tottenham-Hotspur-Stats
West Ham,https://fbref.com/en/squads/7c21e445/West-Ham-United-Stats
Wolves,https://fbref.com/en/squads/8cec06e1/Wolverhampton-Wanderers-Stats
Bayern Munich,https://fbref.com/en/squads/054efa67/2010-2011/Bayern-Munich-Stats
Dortmund,https://fbref.com/en/squads/add600ae/2010-2011/Dortmund-Stats
Eint Frankfurt,https://fbref.com/en/squads/f0ac8ee6/2010-2011/Eintracht-Frankfurt-Stats
Freiburg,https://fbref.com/en/squads/a486e511/2010-2011/Freiburg-Stats
